id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.236145,35508595459.0,9.0,35509522368.0,1972958666.0,0.23590799999999998,0.228589,0.00678561,2.95851,969483383.0,2.8069100000000002,150552856383.7052,150556786383.7052,,0.731578,-67.80892,2021-05-08T05:08:23.458Z,8.69e-05,270892.75934,2015-05-06T00:00:00.000Z,,2025-08-17T15:33:48.778Z
shiba-inu,shib,Shiba Inu,https://coin-images.coingecko.com/coins/images/11939/large/shiba.png?1696511800,1.3200000000000002e-05,7778301040.0,29.0,7781666918.0,114272347.0,1.3200000000000002e-05,1.2940000000000001e-05,2.02633e-07,1.55847,115091854.0,1.50188,589245995579376.4,589500978024085.0,,8.616e-05,-84.68113,2021-10-28T03:54:55.568Z,5.636599999999999e-11,23415550.44557,2020-11-28T11:26:25.838Z,,2025-08-17T15:33:55.055Z
pepe,pepe,Pepe,https://coin-images.coingecko.com/coins/images/29850/large/pepe-token.jpeg?1696528776,1.127e-05,4739660001.0,40.0,4739660001.0,536720092.0,1.13e-05,1.0980000000000002e-05,2.2713399999999997e-07,2.05762,91044424.0,1.95853,420690000000000.0,420690000000000.0,420690000000000.0,2.803e-05,-59.80454,2024-12-09T16:30:35.828Z,5.5142e-08,20330.84543,2023-04-18T02:14:41.591Z,,2025-08-17T15:33:51.475Z
pudgy-penguins,pengu,Pudgy Penguins,https://coin-images.coingecko.com/coins/images/52622/large/PUDGY_PENGUINS_PENGU_PFP.png?1733809110,0.03336434,2094918039.0,65.0,2649453997.0,167998315.0,0.033548220000000004,0.03289275,0.00029778,0.9005400000000001,15554187.0,0.7480300000000001,62860396090.0,79499877605.7503,88888888888.0,0.068447,-51.31565,2024-12-17T13:05:22.873Z,0.0037151700000000003,796.94002,2025-04-09T01:31:57.832Z,,2025-08-17T15:33:48.910Z
bonk,bonk,Bonk,https://coin-images.coingecko.com/coins/images/28600/large/bonk.jpg?1696527587,2.437e-05,1886573084.0,73.0,2144284979.0,136126971.0,2.4500000000000003e-05,2.405e-05,2.28322e-07,0.9458000000000001,17820759.0,0.95362,77419592329436.58,87995355334894.64,87995355334894.64,5.8250000000000006e-05,-58.17321,2024-11-20T04:01:06.465Z,8.6142e-08,28183.58586,2022-12-29T22:48:46.755Z,,2025-08-17T15:33:52.538Z
official-trump,trump,Official Trump,https://coin-images.coingecko.com/coins/images/53746/large/trump.png?1737171561,9.43,1883995163.0,74.0,9419977084.0,339264469.0,9.5,9.08,0.325393,3.5749400000000002,65364687.0,3.59417,199999973.092266,1000000000.0,1000000000.0,73.43,-87.17153,2025-01-19T11:50:34.806Z,4.29,119.54656,2025-01-18T03:40:29.231Z,,2025-08-17T15:33:49.369Z
spx6900,spx,SPX6900,https://coin-images.coingecko.com/coins/images/31401/large/centeredcoin_%281%29.png?1737048493,1.56,1451414554.0,90.0,1451414554.0,32643157.0,1.57,1.45,0.074895,5.03992,67705619.0,4.89305,930993086.0063922,930993086.0063922,1000000000.0,2.27,-31.36789,2025-07-28T11:24:33.852Z,0.0013180800000000001,118132.53238,2024-02-04T19:12:19.110Z,,2025-08-17T15:33:49.827Z
pump-fun,pump,Pump.fun,https://coin-images.coingecko.com/coins/images/67164/large/pump.jpg?1751949376,0.00343736,1216853988.0,106.0,3437404308.0,136992421.0,0.0035689999999999997,0.00334886,2.151e-05,0.62977,6413193.0,0.5298200000000001,354000000000.0,999989428948.374,1000000000000.0,0.00681162,-49.53544,2025-07-16T09:11:47.827Z,0.0022832300000000002,50.5525,2025-07-29T11:15:43.983Z,,2025-08-17T15:33:49.206Z
floki,floki,FLOKI,https://coin-images.coingecko.com/coins/images/16746/large/PNG_image.png?1696516318,0.00010803000000000001,1043521868.0,114.0,1080111050.0,91620858.0,0.00010809,0.00010595,7.35611e-07,0.6855800000000001,6915806.0,0.6671600000000001,9661246109897.0,10000000000000.0,10000000000000.0,0.00034495,-68.68249,2024-06-05T07:25:59.137Z,8.428000000000001e-08,128079.64869,2021-07-06T01:11:20.438Z,,2025-08-17T15:33:49.441Z
fartcoin,fartcoin,Fartcoin,https://coin-images.coingecko.com/coins/images/50891/large/fart.jpg?1729503972,0.9780939999999999,976690740.0,120.0,976690740.0,127330367.0,0.978135,0.9282119999999999,0.03112133,3.2864,26006562.0,2.73556,999983154.610248,999983154.610248,1000000000.0,2.48,-60.64227,2025-01-19T20:41:07.782Z,0.02002855,4771.1863,2024-10-30T07:56:04.381Z,,2025-08-17T15:33:49.802Z
dogwifcoin,wif,dogwifhat,https://coin-images.coingecko.com/coins/images/33566/large/dogwifhat.jpg?1702499428,0.922659,921342367.0,125.0,921342367.0,631729090.0,0.9254129999999999,0.876566,0.039140390000000004,4.43006,38748839.0,4.39034,998926392.0,998926392.0,998926392.0,4.83,-80.88808,2024-03-31T09:34:58.366Z,0.00155464,59221.68665,2023-12-13T07:13:50.873Z,,2025-08-17T15:33:50.330Z
